SITE,Bird_ID,DATE,Time_ID,T_intervals,T_minutes,X_Estimate,Y_Estimate
TBS,7,27-May-03,8,1,15,372925.995,71042.6621
TBS,7,27-May-03,9,1,15,372811.1865,70887.3657
TBS,7,27-May-03,10,1,15,372784.3398,70789.6095
TBS,7,27-May-03,11,1,15,372737.7437,70740.5348
TBS,7,29-May-03,3,,0,372786.3671,70491.6999
TBS,7,29-May-03,4,1,15,372732.979,70893.0503
TBS,7,29-May-03,5,1,15,372764.573,70481.0144
TBS,7,29-May-03,7,2,30,372574.1496,70690.9467
TBS,7,29-May-03,8,1,15,372609.2552,71573.4902
TBS,7,29-May-03,9,1,15,372691.4736,70805.1815
TBS,7,2-Jun-03,1,,0,372538.3975,70844.3875
TBS,7,2-Jun-03,2,1,15,372506.9355,70588.1495
TBS,7,2-Jun-03,3,1,15,372617.4091,71129.1427
TBS,7,2-Jun-03,6,3,45,373055.4008,72133.2422
TBS,7,2-Jun-03,7,1,15,372862.9318,71055.2105
TBS,7,2-Jun-03,8,1,15,372761.5954,71201.0684
TBS,7,2-Jun-03,9,1,15,372652.2792,70989.2865
TBS,7,2-Jun-03,10,1,15,372520.5651,70947.9119
TBS,7,2-Jun-03,11,1,15,372607.2781,70784.8284
TBS,7,2-Jun-03,12,1,15,372497.82,71456.9179
TBS,7,2-Jun-03,13,1,15,372686.0506,71170.348
TBS,7,6-Jun-03,1,,0,372655.1797,70809.8606
TBS,7,6-Jun-03,2,1,15,372504.0317,70691.7899
TBS,7,6-Jun-03,3,1,15,372588.7658,70763.7814
TBS,7,6-Jun-03,6,3,45,372458.4689,70684.3584
TBS,7,6-Jun-03,7,1,15,372561.6975,70575.5958
TBS,7,12-Jun-03,1,,0,372604.1207,70698.0282
TBS,7,12-Jun-03,2,1,15,372613.3083,70713.9416
TBS,7,12-Jun-03,3,1,15,372600.5444,70684.8722
TBS,7,12-Jun-03,4,1,15,372607.7325,70712.1975
TBS,7,12-Jun-03,5,1,15,372616.4783,70719.4321
TBS,7,12-Jun-03,6,1,15,372607.1327,70703.2452
TBS,10,5-Apr-04,1,,0,372580.8365,70489.02
TBS,10,9-Apr-04,1,0,0,372630.5539,70671.2217
TBS,10,11-Apr-04,1,0,0,372903.5888,69999.7537
TBS,10,20-Apr-04,1,0,0,372611.8053,71038.6682
TBS,10,23-Apr-04,1,0,0,372956.8258,70113.6006
TBS,10,26-Apr-04,1,0,0,372406.2882,69922.2491
TBS,10,28-Apr-04,1,0,0,372440.7964,70687.6876
TBS,13,18-Apr-03,2,,0,372036.21,71110.59
